kode_rs	nama_ppk	kepemilikan_rs	total_kasus_ri	sample_cochran_ri	total_kasus_rj	sample_cochran_rj
3573011	RS DR. SAIFUL ANWAR	Pemerintah	38128	60	287556	60
3173025	RS PAD GATOT SOEBROTO	Pemerintah	32421	60	470647	60
1371464	RS UNIVERSITAS ANDALAS	Pemerintah	6489	60	62529	60
3273015	RSU DR. HASAN SADIKIN	Pemerintah	51065	60	362347	60
3374010	RSU DR. KARIADI	Pemerintah	51848	60	470691	60
1371010	RSU DR. M.DJAMIL PADANG	Pemerintah	37588	60	275776	60
3372015	RSU DR. MOEWARDI SURAKARTA	Pemerintah	56546	60	415528	60
1671013	RSU DR. MOHAMMAD HOESIN	Pemerintah	44463	60	302932	60
7371325	RSU DR. W. SUDIROHUSODO	Pemerintah	35885	60	290209	60
1275655	RSU H. ADAM MALIK	Pemerintah	31146	60	253319	60
7171013	RSU PROF.DR. R.D KANDOU MANADO	Pemerintah	31462	60	277498	60
5271010	RSU PROV. NTB	Pemerintah	32537	60	204887	60
3603010	RSU TANGERANG	Pemerintah	17844	60	203713	60
3173521	RSU TARAKAN	Pemerintah	19656	60	194073	60
1471011	RSUD ARIFIN ACHMAD	Pemerintah	21099	60	123535	60
3578016	RSUD DR. SOETOMO	Pemerintah	51808	60	498146	60
3404015	RSUP DR. SARDJITO	Pemerintah	51988	60	657288	60
3310015	RSUP DR. SOERADJI TIRTONEGORO KLATEN	Pemerintah	24930	60	161349	60
3171012	RSUP FATMAWATI	Pemerintah	34308	60	345731	60
3172013	RSUP PERSAHABATAN	Pemerintah	25620	60	277172	60
5171016	RSUP SANGLAH DENPASAR	Pemerintah	43243	60	404030	60
3578811	RSUP SURABAYA	Pemerintah	1011	57	2241	59
1471226	RS AWAL BROS PEKANBARU	Swasta	23280	60	255945	60
1471067	RS EKA HOSPITAL PEKANBARU	Swasta	4927	60	60694	60
3603115	RS EMC ALAM SUTERA	Swasta	1107	57	26882	60
3172495	RS EMC PULOMAS	Swasta	1901	59	65475	60
3671065	RS EMC TANGERANG	Swasta	4734	60	76017	60
3577099	RS HERMINA MADIUN	Swasta	1420	58	8475	60
3671080	RS MAYAPADA	Swasta	4336	60	55613	60
3471052	RS PANTI RAPIH	Swasta	8780	60	127441	60
3578086	RS PHC	Swasta	6667	60	190324	60
3471041	RS PKU MUHAMMADIYAH YOGYAKARTA	Swasta	7485	60	101345	60
3275392	RS PRIMAYA BEKASI BARAT	Swasta	9522	60	133245	60
3671203	RS PRIMAYA TANGERANG	Swasta	11078	60	174720	60
3276017	RS SENTRA MEDIKA	Swasta	12153	60	149658	60
3201230	RS SENTRA MEDIKA CIBINONG	Swasta	14757	60	188543	60
5103035	RS SILOAM BALI	Swasta	2773	59	56328	60
3578443	RS SILOAM HOSPITALS SURABAYA	Swasta	3263	59	63141	60
3671054	RS SILOAM INTERNATIONAL HOSPITAL	Swasta	11775	60	238034	60
3374076	RS SULTAN AGUNG SEMARANG	Swasta	17430	60	122987	60
3374043	RS TELOGOREJO	Swasta	4838	60	69678	60
3275115	RSIA HERMINA BEKASI	Swasta	23895	60	283538	60
3273486	RSU SANTOSA HOSPITAL BANDUNG CENTRAL	Swasta	28468	60	262808	60
3404189	RUMAH SAKIT AKADEMIK UNIVERSITAS GADJAH MADA	Swasta	21837	60	320729	60
